index,merchant_name,merchant_address,brand_name,category,store_address,lat,long,dist,city
0,1ST GARDEN CAFE & BISTRO,"Lầu 3, 26 Lý Tự Trọng, Phường Bến Nghé, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",1st Garden Cafe & Bistro,coffee chains and milk tea,"26 Lý Tự Trọng, P.Bến Nghé, Q.1",10.77825,106.70129,Quận 1,Hồ Chí Minh
1,CÔNG TY CỔ PHẦN THƯƠNG MẠI DỊCH VỤ CỔNG VÀNG ,"Số 60 Giang Văn Minh, Phường Đội Cấn, Quận Ba Đình, Hà Nội, VIỆT NAM",37th Street,restaurant,"54 Liễu Giai, P.Cống Vị, Q.Ba Đình",21.03345,105.81374,Quận Ba Đình,Hà Nội
2,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN BẦU TRỜI XANH,"124 Đường Trần Não, Khu phố 2, phường Bình An, Quận 2, Hồ Chí Minh, Việt Nam",3sạch,food store,"124 Trần Não, P.Bình An, Q.2",10.793395,106.73069,Quận 2,Hồ Chí Minh
3,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN BẦU TRỜI XANH,"124 Đường Trần Não, Khu phố 2, phường Bình An, Quận 2, Hồ Chí Minh, Việt Nam",3sạch,food store,"153 Tôn Dật Tiên, P.Tân Phong, Q.7",10.722885,106.71474,Quận 7,Hồ Chí Minh
4,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN BẦU TRỜI XANH,"124 Đường Trần Não, Khu phố 2, phường Bình An, Quận 2, Hồ Chí Minh, Việt Nam",3sạch,food store,"246 Nguyễn Đình Chiểu, P.6, Q.3",10.7771,106.68883,Quận 3,Hồ Chí Minh
5,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN BẦU TRỜI XANH,"124 Đường Trần Não, Khu phố 2, phường Bình An, Quận 2, Hồ Chí Minh, Việt Nam",3sạch,food store,"26 Hoàng Diệu, P.12, Q.4",10.7649182,106.7064682,Quận 4,Hồ Chí Minh
6,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN BẦU TRỜI XANH,"124 Đường Trần Não, Khu phố 2, phường Bình An, Quận 2, Hồ Chí Minh, Việt Nam",3sạch,food store,"39B Bến Vân Đồn, P.12, Q.4",10.76676,106.70292,Quận 4,Hồ Chí Minh
7,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN BẦU TRỜI XANH,"124 Đường Trần Não, Khu phố 2, phường Bình An, Quận 2, Hồ Chí Minh, Việt Nam",3sạch,food store,"720A Điện Biên Phủ, P.22, Q.Bình Thạnh",10.79777,106.72018,Quận Bình Thạnh,Hồ Chí Minh
8,CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN BẦU TRỜI XANH,"124 Đường Trần Não, Khu phố 2, phường Bình An, Quận 2, Hồ Chí Minh, Việt Nam",3sạch,food store,"208 Nguyễn Hữu Cảnh, P.22, Q.Bình Thạnh",10.79594,106.71894,Quận Bình Thạnh,Hồ Chí Minh
9,3T COFFEE,"355 Hoàng Sa, Phường Tân Định, Quận 1, Thành Phố Hồ Chí Minh, VIỆT NAM",3t Coffee,coffee chains and milk tea,"355 Hoàng Sa, P.Tân Định, Q.1",10.79481,106.68831,Quận 1,Hồ Chí Minh
